year,period,period_type,period_number,period_order,crop_group,crop_subtype,is_aggregate,region,province,volume_mt,area_ha
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VI,Antique,53.0,190.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VI,Antique,540.0,1800.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VI,Antique,20790.0,10900.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VI,Antique,972.0,980.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VI,Capiz,178.0,180.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VI,Capiz,2020.0,2020.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VI,Capiz,13383.0,5380.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VI,Capiz,57453.0,33490.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VI,Guimaras,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VI,Guimaras,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VI,Guimaras,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VI,Guimaras,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VI,Iloilo,181.0,1100.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VI,Iloilo,1091.0,3520.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VI,Iloilo,34560.0,18740.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VI,Iloilo,55203.0,42280.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VI,Negros Occidental,240.0,750.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VI,Negros Occidental,1055.0,2620.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VI,Negros Occidental,46340.0,16560.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VI,Negros Occidental,7504.0,4690.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VII,Bohol,3053.0,3550.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VII,Bohol,124.0,180.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VII,Bohol,9305.0,5880.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VII,Bohol,22592.0,20250.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VII,Cebu,3922.0,16340.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VII,Cebu,135.0,170.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VII,Cebu,974.0,1090.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VII,Cebu,1766.0,2750.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VII,Negros Oriental,2731.0,12750.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VII,Negros Oriental,95.0,150.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VII,Negros Oriental,20160.0,7810.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VII,Negros Oriental,162.0,170.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VII,Siquijor,112.0,350.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VII,Siquijor,4.0,10.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VII,Siquijor,492.0,320.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VII,Siquijor,99.0,100.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VIII,Biliran,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VIII,Biliran,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VIII,Biliran,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VIII,Biliran,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VIII,Eastern Samar,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VIII,Eastern Samar,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VIII,Eastern Samar,323.0,170.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VIII,Eastern Samar,13909.0,9670.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VIII,Leyte,15162.0,8650.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VIII,Leyte,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VIII,Leyte,60260.0,20990.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VIII,Leyte,17070.0,11290.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VIII,Northern Samar,710.0,1870.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VIII,Northern Samar,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VIII,Northern Samar,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VIII,Northern Samar,28920.0,33460.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VIII,Samar,3341.0,3520.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VIII,Samar,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VIII,Samar,1768.0,1070.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VIII,Samar,9350.0,19460.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VIII,Southern Leyte,180.0,220.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VIII,Southern Leyte,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VIII,Southern Leyte,9570.0,3040.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VIII,Southern Leyte,2860.0,1450.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region X,Bukidnon,23652.0,32850.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region X,Bukidnon,20966.0,11520.0
